"","Control_R1","Control_R2","Control_R3","Control_R4","Experimental_R1","Experimental_R2","Experimental_R3","Experimental_R4"
"Control_R1",1,0.993194710239076,0.995150277169642,0.995318831877093,0.978488437763177,0.978938826135802,0.979572663439225,0.978961841845634
"Control_R2",0.993194710239076,1,0.992238271652427,0.994101103135674,0.97856743926619,0.978598630626774,0.978890249287067,0.978704227487727
"Control_R3",0.995150277169642,0.992238271652427,1,0.994373991938325,0.979216607590934,0.979502036608391,0.979490101758779,0.9791698306261
"Control_R4",0.995318831877093,0.994101103135674,0.994373991938325,1,0.980100026782985,0.980386230455262,0.980487631829607,0.980208468928772
"Experimental_R1",0.978488437763177,0.97856743926619,0.979216607590934,0.980100026782985,1,0.99597992253631,0.995991601549264,0.996073567475793
"Experimental_R2",0.978938826135802,0.978598630626774,0.979502036608391,0.980386230455262,0.99597992253631,1,0.99621854361259,0.996192557998538
"Experimental_R3",0.979572663439225,0.978890249287067,0.979490101758779,0.980487631829607,0.995991601549264,0.99621854361259,1,0.996478751670666
"Experimental_R4",0.978961841845634,0.978704227487727,0.9791698306261,0.980208468928772,0.996073567475793,0.996192557998538,0.996478751670666,1
