"","Control_R1","Control_R2","Control_R3","Control_R4","Experimental_R1","Experimental_R2","Experimental_R3","Experimental_R4"
"Control_R1",0,30.2047025334489,25.4481839336273,25.0455036199776,53.6081090400889,53.0383662237558,51.9797563060246,52.9038226529506
"Control_R2",30.2047025334489,0,32.2232675071603,28.0945265446539,53.7011876776767,53.6567652329676,53.1270273388881,53.4554434119271
"Control_R3",25.4481839336273,32.2232675071603,0,27.4046844548692,52.7654012723359,52.3929655072509,52.235325432973,52.7442103812513
"Control_R4",25.0455036199776,28.0945265446539,27.4046844548692,0,51.7068956415646,51.3288284915448,51.0249076476821,51.4880900425701
"Experimental_R1",53.6081090400889,53.7011876776767,52.7654012723359,51.7068956415646,0,23.2546905620033,23.2135848528037,22.9683016470269
"Experimental_R2",53.0383662237558,53.6567652329676,52.3929655072509,51.3288284915448,23.2546905620033,0,22.5434565358508,22.6128876550964
"Experimental_R3",51.9797563060246,53.1270273388881,52.235325432973,51.0249076476821,23.2135848528037,22.5434565358508,0,21.7011980750116
"Experimental_R4",52.9038226529506,53.4554434119271,52.7442103812513,51.4880900425701,22.9683016470269,22.6128876550964,21.7011980750116,0
